transaction_id,account_id,transaction_date,transaction_type,amount,currency,description,channel,reference_no,status
TXN0000000066,HSP0000000078,2025-09-17,Maaş,61816.62,TRY,Prim ödemesi,Mobil,1A728A160678,Başarılı
TXN0000000067,HSP0000000087,2025-10-28,ATM Çekim,100,TRY,Nakit çekim,Mobil,521B00EC4CC8,Başarılı
TXN0000000068,HSP0000000006,2025-12-19,Havale,1075.85,TRY,Alışveriş ödemesi,Internet,A1C22FB597CE,Başarılı
TXN0000000069,HSP0000000019,2025-10-25,Havale,15024.0,TRY,Alışveriş ödemesi,Mobil,3E3918E2CD67,Başarılı
TXN0000000070,HSP0000000082,2025-08-24,Havale,23686.62,TRY,Aidat transferi,Şube,676C83EAF855,Başarılı
TXN0000000071,HSP0000000058,2025-07-22,POS Harcama,6646.3,TRY,Giyim harcaması,Internet,A4107E353E56,Başarılı
TXN0000000072,HSP0000000019,2026-03-04,Fatura,1046.07,TRY,Doğalgaz faturası,ATM,601B49DF2FA9,Başarılı
TXN0000000073,HSP0000000093,2025-05-06,Maaş,29937.9,TRY,Prim ödemesi,POS,05183FBEC3A4,Başarılı
TXN0000000074,HSP0000000017,2025-12-15,Havale,17140.76,TRY,Aidat transferi,Mobil,FD2E9353D35D,Başarılı
TXN0000000075,HSP0000000078,2025-04-20,Havale,21956.04,TRY,Alışveriş ödemesi,Internet,DE5892F42AC4,Başarılı
TXN0000000076,HSP0000000065,2026-02-03,Maaş,50053.59,TRY,Aylık maaş,Mobil,216E68701276,Başarılı
TXN0000000077,HSP0000000100,2025-04-23,POS Harcama,5587.19,TRY,Akaryakıt,Internet,38D7C42B191C,Başarılı
TXN0000000078,HSP0000000030,2025-09-27,Kredi Taksit,9246.67,USD,Taşıt kredisi taksit,Internet,20988791A3F6,Başarılı
TXN0000000079,HSP0000000098,2025-08-09,Fatura,980.43,TRY,Doğalgaz faturası,Internet,0F298EC3E479,Başarılı
TXN0000000080,HSP0000000011,2025-07-06,Virman,236.19,TRY,Hesaplar arası transfer,POS,061B97A784E0,Başarılı
TXN0000000081,HSP0000000074,2025-07-15,POS Harcama,5508.38,TRY,Online alışveriş,Internet,3B228911EA0B,Başarılı
TXN0000000082,HSP0000000053,2025-08-08,Virman,6606.44,TRY,Tasarruf hesabına,Mobil,210EFAE07888,Başarılı
TXN0000000083,HSP0000000073,2025-07-14,Virman,10389.38,EUR,Tasarruf hesabına,Mobil,2B4ABFFBB370,Başarılı
TXN0000000084,HSP0000000023,2025-09-05,ATM Çekim,2000,EUR,Hızlı para çekme,Internet,A5B438C21CEB,Başarılı
TXN0000000085,HSP0000000100,2026-03-04,Maaş,22740.57,TRY,Aylık maaş,Şube,68E225D97A31,Başarılı
TXN0000000086,HSP0000000058,2025-12-17,Fatura,831.09,TRY,Su faturası,POS,9E8A51CF9504,Başarılı
TXN0000000087,HSP0000000071,2025-10-17,POS Harcama,7717.27,TRY,Market alışverişi,Şube,897369FB5980,Başarılı
TXN0000000088,HSP0000000012,2025-05-16,Fatura,174.96,TRY,Doğalgaz faturası,Internet,9A4D72406278,Başarılı
TXN0000000089,HSP0000000048,2025-10-23,Havale,15387.74,USD,Alışveriş ödemesi,Mobil,278C2DBB6DDF,Başarılı
TXN0000000090,HSP0000000037,2025-06-29,Maaş,56618.94,TRY,Prim ödemesi,Internet,3C4AA1F3D41F,İptal
TXN0000000091,HSP0000000002,2025-08-25,EFT,4949.19,TRY,Fatura ödemesi,Şube,9C6ED2E38F73,Başarılı
TXN0000000092,HSP0000000066,2025-04-19,POS Harcama,2890.73,TRY,Elektronik alışveriş,Mobil,B6622F385097,Başarılı
TXN0000000093,HSP0000000001,2025-10-22,Yatırım,35636.2,EUR,Döviz alım,Mobil,0E5BBFDD6BD1,Başarılı
TXN0000000094,HSP0000000052,2025-05-06,POS Harcama,7355.04,TRY,Giyim harcaması,Internet,161F84BF4F78,Başarılı
TXN0000000095,HSP0000000037,2025-09-25,Maaş,77613.7,TRY,Prim ödemesi,Internet,DE464D5042DD,Başarılı
TXN0000000096,HSP0000000029,2026-01-20,POS Harcama,57.12,TRY,Restoran harcaması,Mobil,6E1F2A42FEF3,Beklemede
TXN0000000097,HSP0000000053,2025-09-22,POS Harcama,7577.18,TRY,Giyim harcaması,Internet,38387217D084,Başarılı
TXN0000000098,HSP0000000033,2026-03-22,Fatura,913.4,TRY,İnternet faturası,ATM,7D6A44F571C8,Başarılı
TXN0000000099,HSP0000000073,2025-11-21,ATM Çekim,5000,EUR,Hızlı para çekme,Mobil,856953F1F809,Başarılı
TXN0000000100,HSP0000000076,2025-10-13,Fatura,1285.64,TRY,Doğalgaz faturası,Internet,D2A68073B942,Başarılı
TXN0000000101,HSP0000000087,2025-09-28,Maaş,48572.77,TRY,Aylık maaş,ATM,D37841339D3E,Başarılı
TXN0000000102,HSP0000000090,2026-03-11,Fatura,1510.14,TRY,Su faturası,Mobil,2E72EBB4D80E,Başarılı
TXN0000000103,HSP0000000010,2025-07-21,POS Harcama,7156.64,TRY,Online alışveriş,Mobil,863D9729A7AE,Başarılı
TXN0000000104,HSP0000000024,2025-12-12,Kredi Taksit,11319.57,TRY,Konut kredisi taksit,Şube,A2376591EFB5,Beklemede
TXN0000000105,HSP0000000095,2025-08-06,EFT,20924.73,TRY,Vergi ödemesi,Mobil,C1EF9447E160,Başarılı
TXN0000000106,HSP0000000020,2026-03-06,Maaş,47023.22,TRY,Aylık maaş,Mobil,93481C6A038D,Başarılı
TXN0000000107,HSP0000000098,2025-10-08,Fatura,1260.3,TRY,İnternet faturası,POS,A6A5C7D737AF,Başarılı
TXN0000000108,HSP0000000074,2025-12-18,Fatura,596.52,TRY,Doğalgaz faturası,Internet,FEEFA71289FD,Başarısız
TXN0000000109,HSP0000000097,2025-12-01,POS Harcama,7518.44,TRY,Market alışverişi,Mobil,33A071C3F2F9,Başarılı
TXN0000000110,HSP0000000065,2025-11-21,Virman,24415.03,TRY,Tasarruf hesabına,ATM,0A22B6EE94CB,Başarılı
TXN0000000111,HSP0000000041,2026-01-23,Maaş,21548.61,EUR,Prim ödemesi,Mobil,26D550F90004,Başarılı
TXN0000000112,HSP0000000079,2025-08-16,Fatura,969.12,TRY,Telefon faturası,Mobil,4787E6E98BA0,Başarılı
TXN0000000113,HSP0000000044,2026-03-25,Virman,18829.67,TRY,Yatırım hesabına,Internet,4DAE48656DA0,Başarılı
TXN0000000114,HSP0000000052,2026-01-20,Virman,17181.7,TRY,Hesaplar arası transfer,Mobil,8897858D54D4,Başarılı
TXN0000000115,HSP0000000093,2025-10-13,EFT,4981.97,TRY,Personel maaşı,Mobil,874232B192E3,Başarılı
TXN0000000116,HSP0000000061,2026-02-17,Fatura,1058.16,EUR,Su faturası,Mobil,A987C768AF4A,Başarılı
TXN0000000117,HSP0000000063,2025-10-21,Virman,2564.47,TRY,Vadeli hesaba aktarım,Internet,8610DDC0D694,Başarılı
TXN0000000118,HSP0000000008,2025-05-20,EFT,11301.38,TRY,Vergi ödemesi,Mobil,04506FFC5B66,Başarılı
TXN0000000119,HSP0000000034,2025-08-10,Virman,8669.09,TRY,Tasarruf hesabına,Internet,EAE921588A5F,Beklemede
TXN0000000120,HSP0000000016,2026-01-21,Virman,14439.77,TRY,Vadeli hesaba aktarım,Şube,A3D4FD71F49C,Başarılı
TXN0000000121,HSP0000000100,2025-11-15,Virman,22251.85,TRY,Tasarruf hesabına,Mobil,72A946BD7A32,Başarılı
TXN0000000122,HSP0000000079,2025-06-25,Virman,16050.46,TRY,Yatırım hesabına,Şube,CBAC7942A685,Başarılı
TXN0000000123,HSP0000000054,2025-05-07,POS Harcama,651.31,TRY,Online alışveriş,Internet,D0C539769B4A,Başarılı
TXN0000000124,HSP0000000030,2026-02-04,Virman,16151.64,USD,Yatırım hesabına,Şube,F08693BE76A9,Başarılı
TXN0000000125,HSP0000000057,2025-12-23,Fatura,1932.78,TRY,İnternet faturası,POS,F2F797BC0E36,Başarılı
TXN0000000126,HSP0000000022,2026-03-05,EFT,6366.01,TRY,Tedarikçi ödemesi,Mobil,9727004652BB,Başarılı
TXN0000000127,HSP0000000027,2025-11-29,EFT,13756.0,TRY,Tedarikçi ödemesi,Mobil,12863D406293,Başarılı
TXN0000000128,HSP0000000099,2025-08-13,ATM Çekim,2000,TRY,Nakit çekim,ATM,658649662766,Başarılı
TXN0000000129,HSP0000000011,2025-08-05,POS Harcama,5905.99,TRY,Akaryakıt,POS,97D16AC14144,Başarılı
TXN0000000130,HSP0000000081,2025-04-18,Havale,16622.37,TRY,Borç ödeme,Internet,FE5BD563D25E,Başarılı
TXN0000000131,HSP0000000061,2026-01-06,ATM Çekim,1000,EUR,Nakit çekim,POS,B6EE285DD2F3,Beklemede
TXN0000000132,HSP0000000090,2026-02-20,POS Harcama,7020.8,TRY,Akaryakıt,Internet,8596192312A7,Başarılı
TXN0000000133,HSP0000000068,2025-12-03,POS Harcama,4326.55,TRY,Market alışverişi,Internet,FF175777A461,Beklemede
TXN0000000134,HSP0000000057,2025-04-06,Virman,102.3,TRY,Vadeli hesaba aktarım,Internet,39AA74191ED7,Başarılı
TXN0000000135,HSP0000000045,2025-12-08,Virman,23679.24,TRY,Tasarruf hesabına,Internet,889D730E4F32,Başarılı
TXN0000000136,HSP0000000039,2025-07-28,Havale,19939.51,TRY,Alışveriş ödemesi,Internet,3F296255CB0A,Başarılı
TXN0000000137,HSP0000000048,2025-08-06,EFT,4165.41,USD,Kira transferi,POS,4FD515A0400A,Başarılı
TXN0000000138,HSP0000000049,2025-12-21,EFT,19137.0,TRY,Fatura ödemesi,Mobil,DF5B4CF94FFF,Başarılı
TXN0000000139,HSP0000000089,2025-08-16,Maaş,41838.75,TRY,Aylık maaş,Mobil,3318EFD4A9C5,Başarılı
TXN0000000140,HSP0000000024,2025-11-18,Havale,6876.14,TRY,Alışveriş ödemesi,Mobil,4522BBE0EC74,Başarılı
TXN0000000141,HSP0000000063,2025-12-30,EFT,651.06,TRY,Tedarikçi ödemesi,Mobil,17200865F02E,Başarılı
TXN0000000142,HSP0000000037,2025-07-29,EFT,2345.9,TRY,Tedarikçi ödemesi,Şube,5D310132EC80,Başarılı
TXN0000000143,HSP0000000064,2025-12-12,EFT,24949.29,EUR,Kira transferi,Internet,B9504DEF696B,Başarılı
TXN0000000144,HSP0000000090,2025-06-14,Fatura,159.27,TRY,İnternet faturası,Mobil,7ABD3632BEF1,Başarılı
TXN0000000145,HSP0000000010,2025-08-07,POS Harcama,6541.66,TRY,Market alışverişi,Mobil,4B95CC045FAF,Başarılı
TXN0000000146,HSP0000000016,2025-11-13,Yatırım,25092.64,TRY,Hisse alım,Şube,FB5B0D32F973,Başarılı
TXN0000000147,HSP0000000026,2025-07-16,ATM Çekim,1000,EUR,Hızlı para çekme,ATM,A520EDBA95D6,Başarılı
TXN0000000148,HSP0000000088,2025-04-22,Yatırım,74600.1,TRY,Hisse alım,POS,CC79B958C4BB,Başarılı
TXN0000000149,HSP0000000033,2025-04-27,ATM Çekim,5000,TRY,Nakit çekim,Mobil,6B9983A1C9F6,Başarılı
TXN0000000150,HSP0000000015,2025-08-20,EFT,14658.95,TRY,Kira transferi,Internet,91536BC3D2B6,Başarılı
TXN0000000151,HSP0000000032,2025-11-30,Havale,17241.32,TRY,Aidat transferi,Mobil,0AF03DD4FDE3,Başarılı
TXN0000000152,HSP0000000048,2026-03-18,Maaş,55211.92,USD,İkramiye,Mobil,682310100D38,Başarılı
TXN0000000153,HSP0000000008,2025-05-25,Havale,3233.1,TRY,Aidat transferi,Şube,CD7C35C38BCD,Başarılı
TXN0000000154,HSP0000000041,2025-11-11,Yatırım,73452.29,EUR,Hisse alım,ATM,1C6A8E4A7C94,Başarılı
TXN0000000155,HSP0000000089,2025-04-21,ATM Çekim,1000,TRY,Günlük nakit ihtiyacı,Şube,770E1403E624,Başarılı
TXN0000000156,HSP0000000057,2026-01-16,POS Harcama,1509.28,TRY,Online alışveriş,Internet,92B57176768E,Başarılı
TXN0000000157,HSP0000000042,2026-01-09,Maaş,25422.32,TRY,İkramiye,Mobil,C40B60FE6FE1,Başarılı
TXN0000000158,HSP0000000020,2025-11-19,ATM Çekim,100,TRY,Günlük nakit ihtiyacı,ATM,CE961B08EFAE,Başarılı
TXN0000000159,HSP0000000065,2025-10-04,ATM Çekim,2000,TRY,Nakit çekim,Mobil,233C53863C4B,Başarılı
TXN0000000160,HSP0000000042,2025-10-16,Maaş,27341.51,TRY,İkramiye,Şube,EC3BBF3E866D,Başarılı
TXN0000000161,HSP0000000064,2025-10-27,Maaş,56658.76,EUR,Aylık maaş,Mobil,1A299AD1A571,Başarılı
TXN0000000162,HSP0000000013,2025-06-06,POS Harcama,1445.54,TRY,Market alışverişi,Mobil,A9D22E4341E1,Başarılı
TXN0000000163,HSP0000000026,2026-02-23,Havale,20923.86,EUR,Hediye gönderimi,Mobil,D9AFA84035D8,Başarılı
TXN0000000164,HSP0000000068,2025-07-23,POS Harcama,4855.51,TRY,Market alışverişi,Internet,0BE4439A8672,Başarılı
TXN0000000165,HSP0000000002,2025-05-11,Kredi Taksit,7552.83,TRY,Taşıt kredisi taksit,Mobil,68944C1DBC38,Başarılı
TXN0000000166,HSP0000000008,2025-10-06,Virman,19876.81,TRY,Hesaplar arası transfer,Şube,D502D25469A9,Başarılı
TXN0000000167,HSP0000000079,2025-09-03,EFT,2040.59,TRY,Personel maaşı,Mobil,CB9D008AB5AD,Başarılı
TXN0000000168,HSP0000000067,2025-07-07,Havale,4908.67,TRY,Aidat transferi,Şube,892BA8AE06F5,Başarılı
TXN0000000169,HSP0000000073,2025-10-30,POS Harcama,5973.94,EUR,Elektronik alışveriş,Mobil,33267CA79EDA,Başarılı
TXN0000000170,HSP0000000074,2025-05-24,Virman,4253.55,TRY,Vadeli hesaba aktarım,Internet,EEE3D807E3E9,Başarılı
TXN0000000171,HSP0000000071,2026-02-02,ATM Çekim,1000,TRY,Hızlı para çekme,Mobil,1F96AE1715B9,Başarılı
TXN0000000172,HSP0000000041,2025-10-29,POS Harcama,6118.19,EUR,Akaryakıt,Telefon,ACAA88108F12,Başarılı
TXN0000000173,HSP0000000093,2025-10-10,Virman,19166.13,TRY,Yatırım hesabına,Mobil,79E11B5D2E89,Başarılı
TXN0000000174,HSP0000000047,2025-04-18,Yatırım,98304.17,TRY,Hisse alım,Internet,DE28E422F269,Başarılı
TXN0000000175,HSP0000000067,2025-07-23,Havale,5449.09,TRY,Borç ödeme,POS,8EBD8953FB14,Başarılı
TXN0000000176,HSP0000000003,2026-01-09,Maaş,48232.65,USD,İkramiye,POS,CCE61926D5B2,Başarılı
TXN0000000177,HSP0000000074,2025-06-10,EFT,6698.21,TRY,Fatura ödemesi,Mobil,C63D72FAECB6,Başarılı
TXN0000000178,HSP0000000032,2025-10-22,EFT,14269.72,TRY,Personel maaşı,ATM,028C30B2CB55,Başarılı
TXN0000000179,HSP0000000094,2025-12-06,Havale,20660.06,EUR,Alışveriş ödemesi,Mobil,095A3FC5E3F4,Başarılı
TXN0000000180,HSP0000000013,2026-01-21,POS Harcama,3064.74,TRY,Market alışverişi,Mobil,B5B776303F17,Başarılı
TXN0000000181,HSP0000000099,2025-06-01,Virman,21757.68,TRY,Vadeli hesaba aktarım,POS,D0ADFA2DBE14,Başarılı
TXN0000000182,HSP0000000096,2026-02-18,POS Harcama,3072.25,TRY,Online alışveriş,Şube,8F08F7C120F1,Başarılı
TXN0000000183,HSP0000000068,2025-12-14,Havale,17474.44,TRY,Aidat transferi,Internet,B507C127F43F,Başarılı
TXN0000000184,HSP0000000007,2026-01-30,POS Harcama,4610.53,USD,Market alışverişi,Telefon,AC14C0E3C0D8,Başarısız
TXN0000000185,HSP0000000029,2025-09-20,ATM Çekim,100,TRY,Hızlı para çekme,ATM,B5A623EA9F30,Başarılı
TXN0000000186,HSP0000000074,2025-10-22,Maaş,47618.5,TRY,İkramiye,Internet,5A90C24CC2A2,Başarılı
TXN0000000187,HSP0000000017,2025-10-20,Maaş,57396.15,TRY,Aylık maaş,Internet,558189237EFA,Başarılı
TXN0000000188,HSP0000000072,2025-05-07,POS Harcama,2144.73,TRY,Akaryakıt,Şube,F331EFFD188F,Başarılı
TXN0000000189,HSP0000000042,2025-10-29,Maaş,42530.14,TRY,Prim ödemesi,Internet,A05618BC9202,Başarılı
TXN0000000190,HSP0000000025,2025-09-04,Virman,4314.46,TRY,Yatırım hesabına,Internet,83046ACA9858,Başarılı
TXN0000000191,HSP0000000079,2025-11-12,Fatura,137.51,TRY,Doğalgaz faturası,ATM,01F1E0F3FDFD,Başarılı
TXN0000000192,HSP0000000026,2025-05-14,Maaş,22304.16,EUR,Aylık maaş,Mobil,34C7EE26E552,Başarılı
TXN0000000193,HSP0000000032,2025-08-26,Kredi Taksit,1192.27,TRY,Taşıt kredisi taksit,POS,052077A6CDF6,Başarılı
TXN0000000194,HSP0000000015,2026-01-01,Virman,5375.7,TRY,Yatırım hesabına,Internet,C49E06AE4624,Başarılı
TXN0000000195,HSP0000000071,2026-03-24,ATM Çekim,5000,TRY,Nakit çekim,Şube,556249B1A73E,Başarılı
TXN0000000196,HSP0000000049,2025-06-27,POS Harcama,499.68,TRY,Restoran harcaması,Şube,29A3DC81C5F7,Başarılı
TXN0000000197,HSP0000000090,2025-04-05,POS Harcama,551.45,TRY,Elektronik alışveriş,Mobil,18A7050F36D3,Başarılı
TXN0000000198,HSP0000000035,2025-05-26,POS Harcama,172.25,TRY,Elektronik alışveriş,POS,26E9D6591FC2,Başarılı
TXN0000000199,HSP0000000050,2025-05-21,EFT,22606.41,TRY,Kira transferi,Internet,D5C5F10C38E4,Başarısız
TXN0000000200,HSP0000000077,2025-11-21,POS Harcama,4494.29,TRY,Elektronik alışveriş,Mobil,78217F4061D4,Başarılı
TXN0000000201,HSP0000000003,2025-12-07,Havale,9895.66,USD,Aidat transferi,POS,FAD8DF030456,Başarılı
TXN0000000202,HSP0000000003,2025-07-30,Virman,24900.26,USD,Yatırım hesabına,Internet,ACC6B3C1634F,Başarılı
TXN0000000203,HSP0000000008,2025-04-16,POS Harcama,7554.21,TRY,Online alışveriş,POS,9227C2A39944,Başarılı
TXN0000000204,HSP0000000029,2025-05-15,EFT,18274.25,TRY,Fatura ödemesi,POS,668A40BD3A31,Başarılı
TXN0000000205,HSP0000000087,2025-08-02,POS Harcama,4591.73,TRY,Akaryakıt,Şube,D7C8EC14F1B0,Başarılı
TXN0000000206,HSP0000000040,2025-07-15,Kredi Taksit,10134.62,TRY,Taşıt kredisi taksit,Mobil,B7E47E7CEB39,Başarılı
TXN0000000207,HSP0000000070,2026-03-19,Maaş,60833.87,TRY,İkramiye,Mobil,2A1BC3A229FB,Başarılı
TXN0000000208,HSP0000000018,2026-03-02,ATM Çekim,2000,TRY,Nakit çekim,POS,F08430B7F961,Başarılı
TXN0000000209,HSP0000000041,2025-07-04,Havale,8008.18,EUR,Aidat transferi,Internet,552C824BA264,Başarılı
TXN0000000210,HSP0000000094,2025-10-28,Havale,7653.37,EUR,Borç ödeme,Mobil,2CCD074D6463,Başarısız
